folder,name,method,url,mutation_guard_required
v1/admin/sections,[GET] api/v1/admin/sections/{section},GET,{{base_url}}/api/v1/admin/sections/:section,NO
v1/admin/sections,[PUT] api/v1/admin/sections/{section},PUT,{{base_url}}/api/v1/admin/sections/:section,YES
v1/admin/sections,[DELETE] api/v1/admin/sections/{section},DELETE,{{base_url}}/api/v1/admin/sections/:section,YES
v1/admin/property-types,[GET] api/v1/admin/property-types,GET,{{base_url}}/api/v1/admin/property-types,NO
v1/admin/property-types,[POST] api/v1/admin/property-types,POST,{{base_url}}/api/v1/admin/property-types,NO
v1/admin/property-types,[GET] api/v1/admin/property-types/{property_type},GET,{{base_url}}/api/v1/admin/property-types/:property_type,NO
v1/admin/property-types,[PUT] api/v1/admin/property-types/{property_type},PUT,{{base_url}}/api/v1/admin/property-types/:property_type,YES
v1/admin/property-types,[DELETE] api/v1/admin/property-types/{property_type},DELETE,{{base_url}}/api/v1/admin/property-types/:property_type,YES
v1/user-listing,[POST] api/v1/user-listing,POST,{{base_url}}/api/v1/user-listing,NO
v1/user-listing,[GET] api/v1/user-listing,GET,{{base_url}}/api/v1/user-listing?page=1&limit=10,NO
v1/user-listing,[GET] api/v1/user-listing/{user},GET,{{base_url}}/api/v1/user-listing/:user,NO
v1/user-listing,[POST] api/v1/user-listing/{user},POST,{{base_url}}/api/v1/user-listing/:user,NO
v1/user-listing,[DELETE] api/v1/user-listing/{user},DELETE,{{base_url}}/api/v1/user-listing/:user,YES
v1/user-listing,[GET] api/v1/user-listing/stats,GET,{{base_url}}/api/v1/user-listing/stats,NO
v1/user-listing,[PATCH] api/v1/user-listing/{user}/toggle-status,PATCH,{{base_url}}/api/v1/user-listing/:user/toggle-status,YES
v1/customer/bookings,[POST] /api/v1/customer/bookings,POST,{{base_url}}/api/v1/customer/bookings,NO
v1/customer/bookings,[GET] /api/v1/customer/bookings,GET,{{base_url}}/api/v1/customer/bookings/my,NO
v1/customer/bookings,[POST] /api/v1/customer/bookings/email-verification/send,POST,{{base_url}}/api/v1/customer/bookings/email-verification/send,NO
v1/public-verification,[POST] /api/v1/public-verifications/send,POST,{{base_url}}/api/v1/public-verifications/send,NO
v1/public-verification,[POST] /api/v1/public-verifications/verify,POST,{{base_url}}/api/v1/public-verifications/verify,NO
